student_id,Subject,Semester,Section,gender,enrollment_reason,enrollment_status,time_spent,time_spent_hours
_90466,BioA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,658.4165,10.973608333333335
_90995,BioA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,13.9333,0.23222166666666666
_91066,BioA,S116,01,F,Other,Approved/Enrolled,222.9831,3.7163850000000003
_91067,BioA,S116,01,F,Other,Approved/Enrolled,2920.9838,48.68306333333333
_91300,BioA,S116,01,F,Scheduling Conflict,Approved/Enrolled,1311.9998,21.866663333333335
_91351,BioA,S116,01,F,Other,Approved/Enrolled,206.2335,3.4372249999999998
_91611,BioA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,616.3672,10.272786666666667
_91624,BioA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,583.1167,9.718611666666668
_92152,BioA,S116,01,F,Other,Approved/Enrolled,3214.3998,53.573330000000006
_92510,BioA,S116,01,M,Other,Approved/Enrolled,295.5494,4.925823333333333
_92606,BioA,S116,01,M,Learning Preference of the Student,Approved/Enrolled,10.1498,0.16916333333333336
_92633,BioA,S116,01,M,Learning Preference of the Student,Approved/Enrolled,571.2834,9.52139
_88568,BioA,S216,01,M,Other,Dropped,NA,NA
_92606,BioA,S216,01,M,Other,Approved/Enrolled,306.2668,5.104446666666666
_95658,BioA,S216,01,F,Scheduling Conflict,Approved/Enrolled,644.2667,10.737778333333333
_95707,BioA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,4034.7502,67.24583666666666
_96950,BioA,S216,01,F,Credit Recovery,Approved/Enrolled,2264.4834,37.74139
_97374,BioA,S216,01,F,Credit Recovery,Approved/Enrolled,470.8,7.846666666666667
_97386,BioA,S216,01,M,Other,Approved/Enrolled,71.0166,1.18361
_84794,BioA,T116,01,M,Course Unavailable at Local School,Approved/Enrolled,919.5,15.325
_87689,BioA,T116,01,M,Other,Approved/Enrolled,1525.0333,25.417221666666666
_53447,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1479.4166,24.656943333333334
_55283,FrScA,S116,01,F,Other,Withdrawn,3.9167,0.06527833333333334
_61941,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1637.9504,27.299173333333332
_68188,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,583.2498,9.720830000000001
_69072,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,956.1665,15.936108333333333
_70037,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2591.1496,43.18582666666667
_76840,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2634.6832,43.911386666666665
_77246,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,782.5002,13.04167
_85323,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1449.7001,24.161668333333335
_85416,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,846.5665,14.109441666666667
_85431,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1448.9339,24.14889833333333
_85432,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,874.0172,14.566953333333334
_85433,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,2575.4667,42.924445
_85443,FrScA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,1564.633,26.07721666666667
_85539,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2948.6174,49.14362333333334
_85579,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2822.5166,47.04194333333333
_85649,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1464.4668,24.40778
_85650,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,2689.1334,44.81889
_85651,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,565.7832,9.42972
_85659,FrScA,S116,01,M,Course Unavailable at Local School,Dropped,NA,NA
_85662,FrScA,S116,01,F,Course Unavailable at Local School,Dropped,107.8999,1.7983316666666667
_85663,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,191.3834,3.1897233333333332
_85665,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,4046.6159,67.44359833333333
_85668,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,379.1335,6.3188916666666675
_85791,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1461.8332,24.363886666666666
_85792,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1687.3165,28.121941666666665
_85929,FrScA,S116,01,M,Learning Preference of the Student,Approved/Enrolled,1297.9167,21.631944999999998
_85930,FrScA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,1647.2669,27.454448333333335
_86105,FrScA,S116,01,M,Learning Preference of the Student,Approved/Enrolled,4075.5504,67.92584000000001
_86271,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,282.7834,4.713056666666666
_86280,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2167.9669,36.132781666666666
_86339,FrScA,S116,01,F,Scheduling Conflict,Approved/Enrolled,598.783,9.979716666666667
_86340,FrScA,S116,01,F,Scheduling Conflict,Approved/Enrolled,1077.3504,17.955840000000002
_86364,FrScA,S116,01,F,Other,Approved/Enrolled,3429.2834,57.15472333333333
_86365,FrScA,S116,01,F,Other,Approved/Enrolled,1027.7002,17.128336666666666
_86455,FrScA,S116,01,F,Other,Approved/Enrolled,1616.3337,26.938895
_86476,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1673.8004,27.896673333333336
_86543,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1425.9832,23.766386666666666
_86679,FrScA,S116,01,F,Other,Approved/Enrolled,2267.4,37.79
_86709,FrScA,S116,01,M,Scheduling Conflict,Approved/Enrolled,1600.3334,26.67222333333333
_86792,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,879.1998,14.65333
_86793,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,553.3835,9.223058333333334
_86794,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,1274.8167,21.246945
_86803,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,3344.1504,55.73584
_86815,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1666.7332,27.778886666666665
_87010,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1920.8168,32.01361333333333
_87027,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1605.0336,26.75056
_87093,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,486.65,8.110833333333334
_87163,FrScA,S116,01,F,Scheduling Conflict,Approved/Enrolled,1365.8501,22.764168333333334
_87484,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,3341.9499,55.699165
_87485,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,1451.8836,24.198059999999998
_87489,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,1075.0999,17.918331666666667
_87504,FrScA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,1330.8502,22.180836666666668
_87579,FrScA,S116,01,M,Scheduling Conflict,Approved/Enrolled,1451.9169,24.198615
_87805,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1388.1167,23.135278333333336
_87905,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2166.8999,36.11499833333333
_87906,FrScA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,1095.6001,18.260001666666668
_87914,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1156.1668,19.269446666666667
_87927,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,3934.8498,65.58083
_88261,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1269.6667,21.161111666666667
_88493,FrScA,S116,01,F,Course Unavailable at Local School,Dropped,56.3166,0.93861000000000006
_88501,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,3315.3331,55.25555166666666
_88527,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1551.6665,25.861108333333334
_89128,FrScA,S116,01,F,Other,Approved/Enrolled,362.8837,6.0480616666666664
_90095,FrScA,S116,01,F,Other,Approved/Enrolled,1476.0832,24.601386666666667
_90433,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,2689.2001,44.82000166666667
_91173,FrScA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,756.0998,12.601663333333333
_91471,FrScA,S116,01,M,Other,Approved/Enrolled,946.7998,15.779996666666667
_92143,FrScA,S116,01,F,Other,Approved/Enrolled,1792.1003,29.868338333333334
_92214,FrScA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,1101.833,18.363883333333334
_53475,FrScA,S116,02,F,Course Unavailable at Local School,Dropped,NA,NA
_61357,FrScA,S116,02,F,Course Unavailable at Local School,Dropped,NA,NA
_62157,FrScA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,2497.1666,41.61944333333334
_67762,FrScA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,801.2336,13.353893333333334
_68768,FrScA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,1966.0169,32.76694833333333
_77298,FrScA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,1907.6502,31.79417
_85258,FrScA,S116,02,F,Course Unavailable at Local School,Dropped,NA,NA
_85567,FrScA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,2544.3666,42.40611
_85661,FrScA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,1375.4834,22.924723333333336
_85698,FrScA,S116,02,M,Course Unavailable at Local School,Approved/Enrolled,1070.2167,17.836945
_86627,FrScA,S116,02,M,Course Unavailable at Local School,Approved/Enrolled,2193.117,36.551950000000005
_91340,FrScA,S116,02,F,Learning Preference of the Student,Approved/Enrolled,1182.9332,19.715553333333332
_57224,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,2356.4668,39.27444666666667
_70068,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,2101.933,35.03221666666666
_73132,FrScA,S116,03,F,Other,Approved/Enrolled,1746.5501,29.109168333333333
_77976,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,2448.4838,40.80806333333333
_78691,FrScA,S116,03,F,Learning Preference of the Student,Approved/Enrolled,1559.9667,25.999444999999998
_85573,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,1978.0169,32.966948333333335
_85574,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,1871.1168,31.18528
_85700,FrScA,S116,03,M,Course Unavailable at Local School,Approved/Enrolled,787.2831,13.121385
_85701,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,2381.6998,39.69499666666666
_85702,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,638.7338,10.645563333333333
_85704,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,1376.483,22.94138333333333
_85891,FrScA,S116,03,M,Course Unavailable at Local School,Approved/Enrolled,1784.2506,29.73751
_86309,FrScA,S116,03,F,Course Unavailable at Local School,Approved/Enrolled,1219.4837,20.324728333333333
